epoch,train_loss,val_loss,train_f1,val_f1,time_sec
1,0.9836478993296623,0.1511313666899999,0.51345,0.6558888888888889,0.25748372077941895
2,0.20481832772493364,0.06934690475463867,0.7393666666666666,0.7946111111111112,0.06493067741394043
3,0.0670669473707676,0.05430310592055321,0.7847999999999999,0.7752222222222223,0.06490707397460938
4,0.05276808813214302,0.02316506952047348,0.7966333333333333,0.8536666666666667,0.06834220886230469
5,0.043946203961968425,0.020762807379166286,0.8113333333333334,0.8473888888888889,0.07934236526489258
6,0.03933145850896835,0.020453601454695065,0.8146166666666668,0.8278333333333334,0.06996583938598633
7,0.03699374962598086,0.01819626645495494,0.8190500000000001,0.869611111111111,0.06433939933776855
8,0.03524072915315628,0.018134384726484615,0.8188833333333335,0.8525555555555555,0.06623077392578125
9,0.03419298119843006,0.01720746544500192,0.8193999999999999,0.8692222222222222,0.0639495849609375
10,0.03324777837842703,0.016769333742558956,0.8227833333333333,0.8741111111111111,0.08021330833435059
11,0.03301078211516142,0.016514611740907032,0.8205666666666668,0.8766666666666666,0.06514883041381836
12,0.03205792549997568,0.01658560490856568,0.8207333333333333,0.8752222222222222,0.06990671157836914
13,0.03176855593919754,0.016094031122823555,0.8222666666666665,0.8780555555555556,0.09324860572814941
14,0.030885512940585613,0.016116614763935406,0.8230666666666666,0.8786111111111111,0.05861210823059082
15,0.030362747237086297,0.016377868441243965,0.8223333333333335,0.8763888888888888,0.05981707572937012
16,0.02977440394461155,0.01611975145836671,0.8247166666666667,0.8787222222222223,0.06998944282531738
17,0.029759642854332923,0.015831200095514458,0.8245666666666667,0.8790555555555555,0.06463408470153809
18,0.029023553431034087,0.016591568167010944,0.8262499999999999,0.8719444444444444,0.07047843933105469
19,0.028365840762853624,0.01556758489459753,0.8272,0.8804444444444445,0.06455302238464355
20,0.028606360219419,0.01600124966353178,0.8263999999999999,0.8787777777777778,0.07188534736633301
21,0.02785815205425024,0.015835273079574108,0.8265,0.8797222222222222,0.06325340270996094
22,0.02747633419930935,0.015619135151306788,0.8279166666666665,0.8806111111111111,0.05716681480407715
23,0.02712813261896372,0.015513290961583456,0.8303166666666666,0.8813333333333334,0.07794046401977539
24,0.026632747240364553,0.015653443212310474,0.8292333333333335,0.8809444444444444,0.06974625587463379
25,0.026654076762497425,0.015583639033138752,0.8296166666666667,0.8806111111111111,0.07014870643615723
26,0.026049465499818326,0.015186343031624952,0.8314499999999999,0.8822222222222221,0.07006525993347168
27,0.026103170402348042,0.015620094413558641,0.8320833333333335,0.8798888888888889,0.0688326358795166
28,0.025588805228471755,0.015172640482584635,0.8318666666666668,0.8826111111111111,0.06903266906738281
29,0.025700388476252556,0.0154583640396595,0.8321500000000001,0.8806666666666666,0.06329870223999023
30,0.025016286037862302,0.015225032034019629,0.8336166666666667,0.8824444444444444,0.07004594802856445
